,Epoch,Iteration,Accuracy,Loss,Top3
0,3,6,0.0,2.3026022911071777,0.125
0,3,7,0.125,2.3026022911071777,0.25
0,3,8,0.125,2.3026022911071777,0.375
0,3,9,0.125,2.3026022911071777,0.375
0,3,10,0.125,2.3026022911071777,0.375
0,3,11,0.0,2.3026022911071777,0.125
0,3,12,0.125,2.3026022911071777,0.25
0,3,13,0.125,2.3026022911071777,0.375
0,3,14,0.125,2.3026022911071777,0.375
0,3,15,0.125,2.3026022911071777,0.375
0,4,0,0.125,2.3026022911071777,0.375
0,4,1,0.0,2.3026022911071777,0.125
0,4,2,0.125,2.3026022911071777,0.25
0,4,3,0.125,2.3026022911071777,0.375
0,4,4,0.125,2.3026022911071777,0.375
0,4,5,0.125,2.3026022911071777,0.375
0,4,6,0.0,2.3026022911071777,0.125
0,4,7,0.125,2.3026022911071777,0.25
0,4,8,0.125,2.3026022911071777,0.375
0,4,9,0.125,2.3026022911071777,0.375
0,4,10,0.125,2.3026022911071777,0.375
0,4,11,0.0,2.3026022911071777,0.125
0,4,12,0.125,2.3026022911071777,0.25
0,4,13,0.125,2.3026022911071777,0.375
0,4,14,0.125,2.3026022911071777,0.375
0,4,15,0.125,2.3026022911071777,0.375
0,5,0,0.125,2.3026022911071777,0.375
0,5,1,0.0,2.3026022911071777,0.125
0,5,2,0.125,2.3026022911071777,0.25
0,5,3,0.125,2.3026022911071777,0.375
0,5,4,0.125,2.3026022911071777,0.375
0,5,5,0.125,2.3026022911071777,0.375
0,5,6,0.0,2.3026022911071777,0.125
0,5,7,0.125,2.3026022911071777,0.25
0,5,8,0.125,2.3026022911071777,0.375
0,5,9,0.125,2.3026022911071777,0.375
0,5,10,0.125,2.3026022911071777,0.375
0,5,11,0.0,2.3026022911071777,0.125
0,5,12,0.125,2.3026022911071777,0.25
0,5,13,0.125,2.3026022911071777,0.375
0,5,14,0.125,2.3026022911071777,0.375
0,5,15,0.125,2.3026022911071777,0.375
0,6,0,0.125,2.3026022911071777,0.375
0,6,1,0.0,2.3026022911071777,0.125
0,6,2,0.125,2.3026022911071777,0.25
0,6,3,0.125,2.3026022911071777,0.375
0,6,4,0.125,2.3026022911071777,0.375
0,6,5,0.125,2.3026022911071777,0.375
0,6,6,0.0,2.3026022911071777,0.125
0,6,7,0.125,2.3026022911071777,0.25
0,6,8,0.125,2.3026022911071777,0.375
0,6,9,0.125,2.3026022911071777,0.375
0,6,10,0.125,2.3026022911071777,0.375
0,6,11,0.0,2.3026022911071777,0.125
0,6,12,0.125,2.3026022911071777,0.25
0,6,13,0.125,2.3026022911071777,0.375
0,6,14,0.125,2.3026022911071777,0.375
0,6,15,0.125,2.3026022911071777,0.375
0,7,0,0.125,2.3026022911071777,0.375
0,7,1,0.0,2.3026022911071777,0.125
0,7,2,0.125,2.3026022911071777,0.25
0,7,3,0.125,2.3026022911071777,0.375
0,7,4,0.125,2.3026022911071777,0.375
0,7,5,0.125,2.3026022911071777,0.375
0,7,6,0.0,2.3026022911071777,0.125
0,7,7,0.125,2.3026022911071777,0.25
0,7,8,0.125,2.3026022911071777,0.375
0,7,9,0.125,2.3026022911071777,0.375
0,7,10,0.125,2.3026022911071777,0.375
0,7,11,0.0,2.3026022911071777,0.125
0,7,12,0.125,2.3026022911071777,0.25
0,7,13,0.125,2.3026022911071777,0.375
0,7,14,0.125,2.3026022911071777,0.375
0,7,15,0.125,2.3026022911071777,0.375
0,8,0,0.125,2.3026022911071777,0.375
0,8,1,0.0,2.3026022911071777,0.125
0,8,2,0.125,2.3026022911071777,0.25
0,8,3,0.125,2.3026022911071777,0.375
0,8,4,0.125,2.3026022911071777,0.375
0,8,5,0.125,2.3026022911071777,0.375
0,8,6,0.0,2.3026022911071777,0.125
0,8,7,0.125,2.3026022911071777,0.25
0,8,8,0.125,2.3026022911071777,0.375
0,8,9,0.125,2.3026022911071777,0.375
0,8,10,0.125,2.3026022911071777,0.375
0,8,11,0.0,2.3026022911071777,0.125
0,8,12,0.125,2.3026022911071777,0.25
0,8,13,0.125,2.3026022911071777,0.375
0,8,14,0.125,2.3026022911071777,0.375
0,8,15,0.125,2.3026022911071777,0.375
0,9,0,0.125,2.3026022911071777,0.375
0,9,1,0.0,2.3026022911071777,0.125
0,9,2,0.125,2.3026022911071777,0.25
0,9,3,0.125,2.3026022911071777,0.375
0,9,4,0.125,2.3026022911071777,0.375
0,9,5,0.125,2.3026022911071777,0.375
0,9,6,0.0,2.3026022911071777,0.125
0,9,7,0.125,2.3026022911071777,0.25
0,9,8,0.125,2.3026022911071777,0.375
0,9,9,0.125,2.3026022911071777,0.375
0,9,10,0.125,2.3026022911071777,0.375
0,9,11,0.0,2.3026022911071777,0.125
0,9,12,0.125,2.3026022911071777,0.25
0,9,13,0.125,2.3026022911071777,0.375
0,9,14,0.125,2.3026022911071777,0.375
0,9,15,0.125,2.3026022911071777,0.375
